CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GH141,7,6,3,1,2,2,0,16,0,0,1,1,1,0,2,47,17,19,5,4,40,24,34,0,4,1,9,17,35,4,166,19,141,49,0,102,10
GH142,3,5,0,1,0,3,0,3,0,2,0,0,0,0,0,4,0,10,0,1,3,4,2,0,0,0,3,0,10,0,4,2,14,4,0,6,1
GH143,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,4,2,1,0,0,0,0,0,0,0,3,10,0,2,0,10,12,0,2,4
GH144,8,7,1,0,0,3,0,6,0,1,3,0,1,2,4,11,11,14,11,21,27,21,24,0,14,0,2,4,17,1,15,4,13,8,0,23,16
GH145,5,3,4,0,0,0,0,11,0,7,2,1,2,1,2,4,4,6,9,3,8,8,8,0,0,0,10,14,31,3,20,9,36,7,1,32,11
GH146,1,0,0,0,0,0,0,5,0,1,1,0,0,0,0,9,5,14,3,0,9,6,4,0,0,0,4,8,12,2,29,3,55,25,0,35,3
GH147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,2,0,2,0
GH148,4,3,0,0,0,1,0,13,2,6,0,3,1,1,1,1,1,2,3,0,24,19,9,0,1,0,6,11,9,1,35,13,55,22,0,36,11
GH149,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH15,3,10,3,3,2,1,6,5,1,3,1,2,1,0,1,2,3,2,0,3,4,5,3,4,2,6,6,4,4,3,10,1,11,9,2,3,2
GH150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
GH151,1,0,1,0,1,1,0,9,0,2,2,0,0,1,1,18,11,3,4,1,4,3,0,0,0,1,4,7,39,0,32,11,36,19,0,20,4
GH152,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0
GH153,2,8,4,1,2,2,1,1,0,0,1,0,0,2,1,0,1,1,0,5,9,7,8,0,1,0,1,0,0,6,1,0,0,0,1,3,0
GH154,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1
GH156,1,2,4,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,3,5,1,0,0,0,0,0,0,3,0,40,12,55,10,1,6,2
GH157,3,4,2,0,1,2,0,0,0,0,1,0,0,0,0,5,1,6,1,1,4,5,3,0,2,0,0,0,3,1,2,0,0,1,0,1,1
GH158,93,76,28,13,23,41,0,4,1,0,1,3,0,0,1,48,42,52,21,11,13,23,10,0,4,0,3,1,65,30,13,5,4,7,0,11,1
GH159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,2,0,6,0,2,1,0,2,0,4,1
GH16,8,5,4,3,2,2,0,1,0,0,0,0,0,0,0,8,3,1,1,2,5,3,12,0,0,0,0,1,10,7,1,1,3,1,0,0,1
GH160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GH163,3,6,8,1,1,4,0,10,0,1,1,1,1,0,0,15,7,10,1,8,35,15,33,0,6,0,2,8,17,0,51,18,66,30,0,29,4
GH164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,1,0,2,0
GH165,3,11,7,0,3,2,2,18,0,0,0,0,0,0,0,7,4,8,3,10,20,7,18,0,0,1,4,5,22,1,91,18,103,34,0,70,12
GH166,0,3,3,0,0,0,1,0,0,0,1,0,0,1,0,2,3,9,0,7,24,14,13,0,4,1,3,0,2,0,10,0,6,1,2,3,1
GH167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,4,1,2,0,0,1,0
