CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GT2_Glyco_tranf_2_5,26,24,13,4,3,8,0,1,1,0,1,0,1,1,3,2,0,0,0,7,7,4,21,0,2,0,1,5,4,3,13,13,25,15,0,110,5
GT2_Glyco_trans_2_3,242,286,226,76,83,105,65,64,45,59,43,65,52,34,43,49,45,73,59,100,213,188,125,32,49,94,89,81,195,51,134,76,234,117,41,223,98
GT2_Glycos_transf_2,9604,11309,9928,2519,2722,4242,2272,3130,1378,2414,2285,2192,2375,2143,2185,3082,2748,3047,2640,2987,8660,7829,10029,1383,1906,3331,3555,3365,7940,1023,8558,4677,15146,7447,1289,14308,4155
GT3,18,8,8,0,2,2,1,7,1,1,1,0,0,2,0,17,13,9,4,6,35,36,72,0,6,1,5,4,23,0,16,1,16,11,0,48,16
GT30,1034,1067,819,344,324,407,322,295,114,165,104,189,99,114,105,269,273,312,225,238,400,338,661,131,109,243,244,191,629,166,297,193,626,345,154,723,255
GT31,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,1,3,0,5,4,0,1,0
GT32,66,87,53,15,17,39,3,3,1,3,2,2,1,0,1,11,6,8,4,39,8,5,46,6,5,14,3,9,23,7,167,16,248,199,7,237,17
GT33,6,9,6,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,0,1,0,1,1,0,1,0
GT34,2,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,0,3,2,0,3,0
GT35,226,184,87,29,50,85,22,116,8,37,34,17,28,18,19,132,162,149,139,149,250,204,386,4,94,21,45,44,413,127,161,64,205,113,13,372,133
