TAX_ID,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
TAX_ID_75966,0.015528,0.012267,0.010336,0.009626,0.011684,0.012015,0.003263,0.01461,0.005079,0.011174,0.005239,0.005227,0.00236,0.003808,0.007408,0.013816,0.011599,0.017229,0.009891,0.001581,0.012152,0.015447,0.013297,0.003062,0.008981,0.007247,0.002819,0.013187,0.007703,0.015144,0.012534,0.011542,0.0127,0.014164,0.008143,0.01758,0.015249
TAX_ID_7618,0,0.000245,0.000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000499,0.000724,0.00011,0,0,0,0,0,0.000094,0,0,0,0.000249,0.000567,0,0.000517,0
TAX_ID_7625,0.000102,0,0.000483,0.000241,0,0,0,0,0,0,0,0,0,0,0,0.003886,0,0.001945,0,0,0,0,0,0,0.000691,0,0,0,0.000188,0.000111,0.00044,0.000721,0.000249,0,0,0,0.000188
TAX_ID_768503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_7705,0,0.000082,0.000869,0.000241,0.000254,0,0.000093,0,0,0,0,0,0,0,0,0.000432,0,0,0.000215,0,0,0,0,0,0,0.000186,0,0,0.000094,0.000111,0,0,0.000249,0,0,0.000517,0.000188
TAX_ID_7713,0.000102,0.000327,0.000193,0,0,0.000207,0,0.000256,0,0,0,0,0,0,0,0,0,0,0,0,0.004828,0.000241,0.00011,0,0,0.000557,0,0,0,0.000334,0,0,0.000498,0,0,0,0
TAX_ID_7777,0.011646,0.008996,0.00937,0.009867,0.009906,0.0087,0.003823,0.013841,0.008887,0.026072,0.010479,0.006969,0.017702,0.011424,0.017286,0.025473,0.008506,0.007503,0.006021,0.001877,0.038787,0.047306,0.013187,0.003062,0.01658,0.009663,0.003383,0.021758,0.009488,0.008574,0.032324,0.036789,0.031377,0.026629,0.00479,0.037401,0.014496
TAX_ID_7878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_795747,0.001839,0.001063,0.000869,0.001925,0.001016,0.000621,0.000093,0.002051,0.002539,0,0,0.001742,0.00118,0.007616,0.001235,0.015111,0.023971,0.007225,0.00086,0,0.004661,0.009172,0.005275,0.001021,0.002072,0.000557,0.00874,0.02967,0.001785,0.001559,0.006157,0,0.006724,0.005666,0.007664,0.011548,0.007342
TAX_ID_80999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_82162,0,0.000082,0,0,0,0,0.000093,0,0,0,0,0,0,0,0,0.000432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000334,0,0,0,0,0,0,0
TAX_ID_8292,0.007151,0.009405,0.008598,0.01107,0.006858,0.009115,0.003077,0.017686,0.007618,0.004966,0.007335,0.006098,0.008261,0.010155,0.008643,0.011225,0.00464,0.004168,0.007311,0.000395,0.011986,0.013999,0.014506,0.004082,0.01658,0.006504,0.004229,0.018461,0.008549,0.005345,0.071245,0.031739,0.046318,0.052124,0.007185,0.033609,0.018826
TAX_ID_84343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_84992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_84995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166,0,0.00011,0,0,0,0,0,0.000094,0,0,0,0,0,0,0,0.00113
TAX_ID_84998,0.047503,0.047105,0.056609,0.050057,0.050801,0.054067,0.04149,0.129439,0.090144,0.178778,0.195953,0.110635,0.130994,0.170092,0.160516,0.072966,0.064696,0.049743,0.122562,0.181002,0.16114,0.185121,0.072092,0.05307,0.136785,0.043854,0.085141,0.1378,0.05721,0.062025,0.153485,0.223618,0.16809,0.133143,0.056522,0.121509,0.119734
TAX_ID_8504,0.000204,0.000245,0,0.000241,0.000254,0,0,0,0.00127,0,0,0.000871,0,0,0,0.000863,0,0.000556,0.00043,0,0.000166,0,0.002308,0,0.002763,0,0.000564,0.001978,0.001033,0.000334,0.00044,0,0.000747,0,0,0.000345,0.000941
TAX_ID_86131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_8782,1.329579,1.123494,1.109662,1.245406,1.124235,1.185122,0.568547,2.192267,1.074108,2.203682,2.167011,1.388599,2.449933,2.44856,2.464532,2.56459,1.275099,1.306385,1.17982,0.522158,4.15885,4.591576,3.062243,0.712368,2.894586,0.839918,1.227214,3.272917,1.05769,0.958434,5.778124,3.943619,4.513772,4.737057,1.088279,3.839174,3.173695
TAX_ID_89368,0,0,0,0,0.000762,0.000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001034,0
TAX_ID_908620,0.01042,0.012839,0.016905,0.013477,0.01778,0.015536,0.016223,0.015379,0.011427,0.012415,0.026197,0.021779,0.020062,0.026656,0.025929,0.01727,0.012114,0.01584,0.025372,0.045942,0.024637,0.01786,0.007253,0.013268,0.005527,0.016538,0.031857,0.015824,0.01287,0.018374,0.075203,0.024526,0.037602,0.026062,0.014849,0.011203,0.00866
TAX_ID_909932,0.010727,0.01194,0.010723,0.010348,0.007874,0.009115,0.004848,0.027169,0.013966,0.033521,0.03458,0.017423,0.047205,0.020309,0.016052,0.064331,0.026806,0.023065,0.024942,0.061651,0.025636,0.034997,0.075279,0.007144,0.044213,0.007619,0.017197,0.065933,0.015876,0.013919,0.048816,0.06925,0.048061,0.063455,0.015328,0.042916,0.053089
TAX_ID_91061,0.771697,0.522901,0.495663,0.524154,0.480327,0.582514,0.093421,0.985277,0.434214,1.24027,1.28365,0.601087,1.54832,1.547327,1.375495,2.502418,1.193907,1.242747,0.665705,0.904416,2.365499,3.120746,4.162079,0.227591,5.917667,0.27223,0.497877,1.63448,0.500897,0.453773,3.537636,3.556976,3.889474,4.169358,0.440676,2.240423,2.176479
TAX_ID_91989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0,0,0,0,0,0,0,0,0,0,0.000567,0,0,0
TAX_ID_930023,0.000204,0,0.000097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000215,0,0,0,0,0,0.000691,0,0.000282,0,0,0.000111,0.00044,0.000721,0,0,0,0.002068,0.000188
TAX_ID_96475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186,0,0,0,0,0,0,0,0,0,0,0
TAX_ID_97264,0,0,0,0.000241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166,0,0,0,0,0.000186,0,0,0.000188,0.000111,0,0,0,0,0,0,0
